text,retweetCount,replyCount,likeCount,quoteCount,viewCount,timestamp,bookmarkCount,quote,text_length
RT @Starlink: The Starlink team is proud to support humanitarian efforts around the world🛰️🌎❤️,1406,0,0,0,44,2023-05-22 15:24:41+00:00,0,,94
RT @SpaceX: Dragon performed a series of burns on its way to the @space_station https://t.co/YKa7SWO5Qt,2231,0,0,0,7,2023-05-22 17:18:45+00:00,0,,103
RT @Space_Station: Welcome aboard the station #Ax2! The four @Axiom_Space private astronauts entered the orbital outpost after opening the…,2038,0,0,0,7,2023-05-22 18:20:20+00:00,0,,139
RT @votetimscott: Let's go! https://t.co/w12l1nKrrg,1869,0,0,0,7,2023-05-22 15:35:52+00:00,0,,51
"RT @SpaceX: Falcon 9’s first stage booster has landed on Landing Zone 1, a first for a human spaceflight mission https://t.co/VhjpruRbMC",4700,0,0,0,5,2023-05-21 22:00:51+00:00,0,,136
"RT @TwitterEng: Sharing another update on the changes we’ve made to our open source repos this week and a preview of what’s next 🧵

https:/…",1832,0,0,0,2,2023-05-20 20:46:07+00:00,0,,140
RT @SpaceX: Watch Falcon 9 launch Dragon and Ax-2 to the @space_station → https://t.co/gkJqIgzTh5 https://t.co/fT19TRMaXz,3336,0,0,0,7,2023-05-21 19:58:31+00:00,0,,121
"RT @Starlink: Ending the digital divide requires making devices more accessible. 

Starlink kits are designed to include everything needed…",1889,0,0,0,14,2023-05-19 21:57:07+00:00,0,,139
RT @ehikian: https://t.co/3kyUjBEfDO,1971,0,0,0,3,2023-05-19 21:52:51+00:00,0,,36
RT @Starlink: Second-gen satellites represent a step forward in Starlink capability with key technologies to provide ~4x more capacity per…,1272,0,0,0,18,2023-05-19 16:47:09+00:00,0,,139
RT @SpaceX: Watch Falcon 9 launch 22 @Starlink satellites to orbit → https://t.co/bJFjLCiTbK https://t.co/OaZDKjH1yT,2451,0,0,0,4,2023-05-19 06:22:43+00:00,0,,116
RT @SpaceX: Watch Falcon 9 launch the Iridium OneWeb mission to orbit → https://t.co/bJFjLCilmc https://t.co/MgVTD7Vu0j,1909,0,0,0,1,2023-05-19 13:15:49+00:00,0,,119
RT @SpaceX: Liftoff! https://t.co/c8hzT8pqnf,2033,0,0,0,1,2023-05-19 06:22:40+00:00,0,,44
RT @SpaceX: 3 Falcon 9 rockets on 3 SpaceX launch pads → https://t.co/bJFjLCiTbK https://t.co/TQK1wpcqhK,2016,0,0,0,3,2023-05-19 01:40:04+00:00,0,,104
"RT @Starlink: Starlink on Siargao Island in the Philippines 🇵🇭 

📷: @buddhasiargao https://t.co/yWe9mGtUV7",996,0,0,0,6,2023-05-19 01:20:24+00:00,0,,106
"RT @Starlink: Over one-third of secondary schools and two-thirds of primary schools around the world are not connected to the internet.

On…",1294,0,0,0,5,2023-05-18 21:25:17+00:00,0,,140
"RT @SpaceX: Falcon 9 and Dragon vertical at 39A; targeting Sunday, May 21 at 5:37 p.m. ET for launch of Ax-2 → https://t.co/gkJqIgAr6D http…",1896,0,0,0,2,2023-05-18 23:08:43+00:00,0,,140
RT @SpaceX: Ship 25 moved to a suborbital pad at Starbase for an upcoming static fire of its six Raptor engines https://t.co/5pPGl0SlkV,1793,0,0,0,3,2023-05-18 16:33:22+00:00,0,,135
"RT @Starlink: With Starlink, users can engage in online gaming which historically wasn’t possible with satellite internet. 

Back in Decemb…",1671,0,0,0,11,2023-05-18 01:53:51+00:00,0,,140
"RT @Starlink: 150+ cruise ships and counting around the world are set to use Starlink, helping to make their passengers travel experience e…",1350,0,0,0,6,2023-05-18 05:47:45+00:00,0,,140
RT @Starlink: ¡Starlink ya está disponible en Panamá!,867,0,0,0,18,2023-05-18 01:53:38+00:00,0,,53
RT @ThomasAlxDmy: Once you’ve tasted the full phone to car and technological experience of a Tesla you can’t go back to any other cars. The…,1176,0,0,0,7,2023-05-17 19:22:44+00:00,0,,140
"RT @GlobalAffairs: We are today sharing an update on our approach in Turkey.

We were in negotiation with the Turkish Government throughout…",4592,0,0,0,12,2023-05-16 01:02:35+00:00,0,,140
RT @elonmusk: https://t.co/jKxHdqc2Vp,4938,0,0,0,25,2023-05-16 23:23:30+00:00,0,,37
RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/bYvC8sH9NX,2586,0,0,0,14,2023-05-14 17:07:00+00:00,0,,113
"RT @Starlink: Starlink enables greater access to healthcare and medical services, especially for those in remote locations.

Thanks to the…",1567,0,0,0,8,2023-05-15 18:48:49+00:00,0,,139
"RT @CNBC: ""A lot of people still think Teslas are super expensive...but now we're at the point where the starting point of a Tesla is actua…",3234,0,0,0,17,2023-05-17 05:02:50+00:00,0,,140
RT @SpaceX: Liftoff! https://t.co/zRIs6LGeMM,2613,0,0,0,14,2023-05-14 17:06:53+00:00,0,,44
"RT @dvorahfr: ""The most reliable way to predict the future is to create it.""
- Abraham Lincoln https://t.co/BdifivIXsC",2996,0,0,0,9,2023-05-14 02:31:23+00:00,0,,118
"RT @Starlink: When you have Starlink on your ship, not only can you stay connected while on the vast majority of the Earth’s oceans and sea…",1180,0,0,0,9,2023-05-12 21:50:33+00:00,0,,140
"RT @Subscriptions: You asked (loudly), we listened.

We’ve reduced the signup flow for creators from 27 steps to just 4.

It’s never been e…",1804,0,0,0,8,2023-05-12 17:41:28+00:00,0,,140
"RT @Starlink: One-third of humanity remains offline, and many users only have basic connectivity.

The Ministry of Education in El Salvador…",2250,0,0,0,12,2023-05-12 16:12:53+00:00,0,,140
RT @teslaenergy: Powerwall now available in Spain → https://t.co/LIVszp431d,1124,0,0,0,18,2023-05-11 21:01:29+00:00,0,,75
RT @Twitter: Say goodbye to prying eyes and hello to secure conversations. We're giving early access to Encrypted Direct Messages v1 to our…,2998,0,0,0,16,2023-05-11 19:53:50+00:00,0,,140
RT @cb_doge: Verified organization is one of the most important additions to Twitter. @elonmusk https://t.co/FTDd57Rg4I,1253,0,0,0,20,2023-05-11 16:39:28+00:00,0,,119
"RT @SpaceX: Starship is the largest, most capable rocket ever developed and will allow us to achieve a shared vision of a future where huma…",5640,0,0,0,21,2023-05-11 09:32:11+00:00,0,,140
"RT @SpaceX: With each launch of our first gen @Starlink satellites, we add over a Tbps of capacity to the constellation; allowing us to con…",2063,0,0,0,16,2023-05-11 19:24:49+00:00,0,,140
"RT @TIME: J. Robert Oppenheimer's grandson: ""We must get over our cognitive and political bias: Nuclear energy is necessary and safe, and n…",6245,0,0,0,14,2023-05-11 17:51:51+00:00,0,,140
"RT @CommunityNotes: Contributors’ time is valuable, and best spent reviewing high quality notes. Today we’re making the number of notes one…",953,0,0,0,18,2023-05-10 21:37:37+00:00,0,,140
RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/wL2qRtrYxI,3064,0,0,0,10,2023-05-10 21:50:47+00:00,0,,113
RT @SpaceX: Liftoff! https://t.co/ZQmhx4Nynn,3229,0,0,0,13,2023-05-10 21:50:42+00:00,0,,44
